timestamp,open,high,low,close,volume
2024-01-02,170.50,172.80,170.25,172.50,52000000
2024-01-03,172.50,173.20,171.80,172.10,48000000
2024-01-04,172.10,173.50,171.50,173.25,51000000
2024-01-05,173.25,174.00,172.50,173.80,49000000
2024-01-08,173.80,175.20,173.50,175.00,55000000
2024-01-09,175.00,175.80,174.20,175.50,52000000
2024-01-10,175.50,176.50,175.00,176.20,58000000
2024-01-11,176.20,177.00,175.80,176.80,54000000
2024-01-12,176.80,177.50,176.20,177.20,56000000
2024-01-16,177.20,178.00,176.80,177.80,59000000
2024-01-17,177.80,178.50,177.20,178.20,57000000
2024-01-18,178.20,179.00,177.80,178.80,61000000
2024-01-19,178.80,179.50,178.20,179.20,58000000
2024-01-22,179.20,180.00,178.80,179.80,62000000
2024-01-23,179.80,180.50,179.20,180.20,60000000
2024-01-24,180.20,181.00,179.80,180.80,64000000
2024-01-25,180.80,181.50,180.20,181.20,61000000
2024-01-26,181.20,182.00,180.80,181.80,65000000
2024-01-29,181.80,182.50,181.20,182.20,63000000
2024-01-30,182.20,183.00,181.80,182.80,67000000
