timestamp,open,high,low,close,volume
2024-01-02,372.50,375.20,372.00,374.80,28000000
2024-01-03,374.80,376.00,374.20,375.50,26000000
2024-01-04,375.50,377.00,375.00,376.80,29000000
2024-01-05,376.80,378.00,376.20,377.50,27000000
2024-01-08,377.50,379.00,377.00,378.80,31000000
2024-01-09,378.80,380.00,378.20,379.50,29000000
2024-01-10,379.50,381.00,379.00,380.80,33000000
2024-01-11,380.80,382.00,380.20,381.50,30000000
2024-01-12,381.50,383.00,381.00,382.80,32000000
2024-01-16,382.80,384.00,382.20,383.50,35000000
2024-01-17,383.50,385.00,383.00,384.80,33000000
2024-01-18,384.80,386.00,384.20,385.50,37000000
2024-01-19,385.50,387.00,385.00,386.80,34000000
2024-01-22,386.80,388.00,386.20,387.50,38000000
2024-01-23,387.50,389.00,387.00,388.80,36000000
