timestamp,symbol,side,exchange,price,size
09:30:00.000,GOOGL,BID,NYSE,141.50,1800
09:30:00.000,GOOGL,BID,ARCA,141.48,1100
09:30:00.000,GOOGL,BID,BATS,141.46,1400
09:30:00.000,GOOGL,BID,EDGX,141.44,700
09:30:00.000,GOOGL,BID,IEX,141.42,1000
09:30:00.000,GOOGL,BID,NYSE,141.40,2200
09:30:00.000,GOOGL,BID,ARCA,141.38,800
09:30:00.000,GOOGL,BID,BATS,141.36,1300
09:30:00.000,GOOGL,BID,EDGX,141.34,600
09:30:00.000,GOOGL,BID,IEX,141.32,1100
09:30:00.000,GOOGL,ASK,NYSE,141.55,1500
09:30:00.000,GOOGL,ASK,ARCA,141.57,1000
09:30:00.000,GOOGL,ASK,BATS,141.59,1800
09:30:00.000,GOOGL,ASK,EDGX,141.61,700
09:30:00.000,GOOGL,ASK,IEX,141.63,1200
09:30:00.000,GOOGL,ASK,NYSE,141.65,900
09:30:00.000,GOOGL,ASK,ARCA,141.67,1600
09:30:00.000,GOOGL,ASK,BATS,141.69,500
09:30:00.000,GOOGL,ASK,EDGX,141.71,1900
09:30:00.000,GOOGL,ASK,IEX,141.73,400
