timestamp,open,high,low,close,volume
2024-01-02,100.00,102.50,99.50,101.75,15000
2024-01-03,101.75,103.00,100.50,102.25,12500
2024-01-04,102.25,104.00,101.00,103.50,18000
2024-01-05,103.50,105.25,102.75,104.00,14200
2024-01-08,104.00,104.50,101.00,101.50,22000
2024-01-09,101.50,102.00,99.00,99.50,25000
2024-01-10,99.50,101.00,98.50,100.75,19500
2024-01-11,100.75,103.50,100.00,103.00,16800
2024-01-12,103.00,106.00,102.50,105.50,21000
2024-01-15,105.50,107.00,104.50,106.25,17500
2024-01-16,106.25,108.00,105.00,105.50,13200
2024-01-17,105.50,106.00,103.00,103.50,18500
2024-01-18,103.50,104.50,102.00,104.00,14000
2024-01-19,104.00,106.50,103.50,106.00,16500
2024-01-22,106.00,108.50,105.50,108.00,19200
2024-01-23,108.00,109.00,106.00,106.50,15800
2024-01-24,106.50,107.00,104.00,104.50,17200
2024-01-25,104.50,106.00,103.00,105.50,13500
2024-01-26,105.50,107.50,105.00,107.00,14800
2024-01-29,107.00,109.50,106.50,109.00,20500
2024-01-30,109.00,110.00,107.50,108.00,18200
2024-01-31,108.00,108.50,105.50,106.00,16500
2024-02-01,106.00,107.00,104.50,105.00,14200
2024-02-02,105.00,107.50,104.00,107.00,15800
2024-02-05,107.00,110.00,106.50,109.50,22500
2024-02-06,109.50,112.00,109.00,111.50,25000
2024-02-07,111.50,113.00,110.00,110.50,19800
2024-02-08,110.50,111.00,108.00,108.50,17500
2024-02-09,108.50,110.00,107.50,109.50,16200
2024-02-12,109.50,111.50,109.00,111.00,18500
2024-02-13,111.00,112.50,110.00,112.00,20200
2024-02-14,112.00,114.00,111.50,113.50,23500
2024-02-15,113.50,115.00,112.00,114.00,21800
2024-02-16,114.00,114.50,111.50,112.00,19200
2024-02-20,112.00,113.00,110.00,110.50,17500
2024-02-21,110.50,112.00,109.50,111.50,15800
2024-02-22,111.50,114.00,111.00,113.50,22000
2024-02-23,113.50,116.00,113.00,115.50,24500
2024-02-26,115.50,117.00,114.50,116.00,21200
2024-02-27,116.00,117.50,115.00,115.50,18500
2024-02-28,115.50,116.00,113.00,114.00,16800
2024-02-29,114.00,115.50,112.50,115.00,17500
2024-03-01,115.00,118.00,114.50,117.50,25000
2024-03-04,117.50,119.00,116.00,118.00,22500
2024-03-05,118.00,119.50,117.00,118.50,19800
2024-03-06,118.50,120.00,117.50,119.00,21200
2024-03-07,119.00,121.00,118.00,120.50,24000
2024-03-08,120.50,122.00,119.50,121.00,22800
